Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,rXkaLL5ajpk,"Menteri Tenaga Kerja Singapura Tan See Leng mengatakan sebanyak  1.270 orang tenaga kerja di industri teknologi dan startup terkena pemutusan hubungan kerja pada Juli hingga pertengahan November 2022.

Selengkapnya dalam program Evening Up CNBC Indonesia (Selasa, 29/11/2022) berikut ini.

Terus ikuti berita ekonomi bisnis dan analisis mendalam hanya di https://www.cnbcindonesia.com/. 

CNBC Indonesia terafiliasi dengan CNBC Internasional dan beroperasi di bawah grup Transmedia dan tergabung bersama Trans TV, Trans7, Detikcom, Transvision, CNN Indonesia dan CNN Indonesia.com.
CNBC Indonesia dapat dinikmati melalui tayangan Transvision channel 805 atau streaming melalui aplikasi CNBC Indonesia yang dapat di download di playstore atau iOS. 

Follow us on social: 
Twitter:   / cnbcindonesia  
Facebook Page:   / cnbcindonesia  
Instagram:   / cnbcindonesia   
  / cuap_cuan  
Tiktok: https://bit.ly/38BYtJx
Spotify: https://spoti.fi/2BR7KkT",https://www.youtube.com/watch?v=rXkaLL5ajpk,,,neutral,2022-11-29T13:07:05+00:00,128,0,72,21946,0.0,419,365.946,,
youtube,post,Zqkl6E8-hao,"Why are fewer travelers choosing Singapore tourism destinations in 2026? In this educational and analytical documentary, we explore changing travel behavior, rising costs, shifting consumer habits, and the growing debate around the future of Singapore tourism and the broader Southeast Asian travel market. From quieter shopping districts to lower hotel occupancy, many workers and business owners are sharing concerns about the direction of Singapore tourism in a rapidly changing global economy.

This video examines how Singapore travel, Singapore hotels, and Singapore malls are adapting to weaker visitor demand, changing airline trends, and intense regional competition. We also explore how the Singapore economy, Singapore airport, and Singapore real estate sectors are responding to tourism slowdowns through new strategies, redevelopment projects, and digital transformation efforts.

Rather than blaming individuals or communities, this report focuses on economic patterns, urban development, and possible long-term solutions. Topics include affordability, tourism recovery, retail vacancies, infrastructure investment, and how Marina Bay Sands, Orchard Road, and other major attractions are trying to reinvent themselves. We also compare Singapore tourism 2026 trends with other Asian destinations competing for international visitors.

Could lower spending, rising living costs, and changing traveler expectations reshape the future of the city? Or will innovation and policy changes help Singapore tourism recover faster than expected? Watch until the end for a balanced discussion on urban resilience, economic adaptation, and the future of travel in Southeast Asia.

📌 Disclaimer:
The thumbnail in this video is a creative illustration intended to support storytelling and may not reflect exact real-world locations or conditions.

This content from Global Decline Explained is produced for educational and documentary purposes. All videos are independently created and based on original, data-driven analysis using publicly available sources. Topics such as economic trends and tourism shifts (including developments in Dubai and the United States) are constantly evolving, and viewers are encouraged to verify information through multiple reliable sources.

This video aims to provide clear, analytical, and educational insights to help viewers better understand global economic trends, tourism patterns, and changes in the global economy.

If you are the owner of the materials used in this video, let us know in the comments. We will follow your request immediately.

#singapore 
#singaporetourism  
#visitsingapore  
#marinabaysands  
#singapore2025",https://www.youtube.com/watch?v=Zqkl6E8-hao,,,neutral,2026-05-14T14:01:56+00:00,90,0,41,10107,0.0,232,223.107,,
youtube,comment,UgxVJpr4sdv1eBdLHb54AaABAg,everyone should keep raising rents & prices til noone can afford it...,,https://www.youtube.com/watch?v=Zqkl6E8-hao,Zqkl6E8-hao,neutral,2026-05-20T00:00:00Z,8,0,0,0,0.0,800,,"{'id': 'UCyDyXzXl-CFqZAtl3uuov7w', 'name': '@clearminds22', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lxq67E8odretN5QRvI2Kr02tipuL9ilL8Jiu_TssLPW_sh=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgyXczhKLCYjIXgZeap4AaABAg,"Singapore was always a city full of pressure n competition.
From outside everything looks shiny, but ppl live like machines there.
Now in the race to beat Dubai, the city is becoming even more cold n less human.",,https://www.youtube.com/watch?v=Zqkl6E8-hao,Zqkl6E8-hao,neutral,2026-05-20T00:00:00Z,7,0,0,0,0.0,700,,"{'id': 'UCj-zbUODI-XNNvV0LEvpAFA', 'name': '@Facade_Files', 'thumbnails': [{'url': 'https://yt3.ggpht.com/XQoqToj1uEak5ri2bG4a2MWOHqwgQWQ73hnz0pJaTceYPMgsoF4oKqlnajxvpySvxtLe49YZwoo=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugy54iYmRnhgGIYhixd4AaABAg,"Singapore has only itself to Thank.
Raise costs & lower the Visitor footfall.",,https://www.youtube.com/watch?v=Zqkl6E8-hao,Zqkl6E8-hao,neutral,2026-05-20T00:00:00Z,3,0,0,0,0.0,300,,"{'id': 'UCXc6aTkiW-IMnKWx5x-D4vQ', 'name': '@marietheresa7866', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_ma5RbM1JouXSgDaw1XVCY-1JhkVOZS40l8MGiqqSSPZg=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,post,-DaNs6wKPLg,"Budget Planner Notebook – A simple and effective tool to help track daily expenses, savings goals, and monthly budgets. https://s.shopee.sg/9UrU38zesP

Reusable Lunch Box – An affordable and practical way for workers to save money by bringing meals from home instead of eating out daily. https://s.shopee.sg/2B4tJhLGgo
 
Visit our Shopee Affiliate Shop Today: https://s.shopee.sg/6KqhpHqQW8

Six in ten workers in Singapore are living paycheck to paycheck, one of the highest rates in Asia. A new global survey reveals that even holding multiple jobs does not guarantee financial stability. With rising costs of living and wages struggling to keep up, many Singaporeans continue to feel the pressure. Will government programmes be enough to ease the strain, or will more workers fall behind?
 
#singaporenews #singapore #paychecktopaycheck #costofliving #sgworkers #sgnews #singaporeeconomy #sgpolitics #finance #moneytips #sgupdates #globalnews #asiapacific #jobmarket #skillsfuture #singaporejobs #wages #inflation #sgbudget #sgdaily",https://www.youtube.com/watch?v=-DaNs6wKPLg,,,neutral,2025-08-22T12:38:07+00:00,45,0,41,2397,0.0,109,170.397,,
youtube,post,lbmLM-nIi2U,"A man of conviction and courage, Devan Nair rose from the turbulence of Singapore’s early years to become the voice of its workers and founder of the NTUC. Through his fight for dignity and solidarity among workers, he helped turn the spirit of labour into the strength of a nation. 
 
#Singapore #History #Nation #People #DevanNair 

---
Read more: http://www.asiaone.com/
Watch more: https://www.asiaone.com/video

FOLLOW us on 
- Facebook: https://www.facebook.com/asiaonecom
- X: https://x.com/asiaonecom
- Instagram: https://www.instagram.com/asiaonecom/ 

EMAIL: 
For story leads, business enquiries, contact editor@asiaone.com",https://www.youtube.com/watch?v=lbmLM-nIi2U,,,neutral,2025-10-23T12:31:04+00:00,59,0,6,38429,0.0,449,115.429,,
youtube,comment,Ugwl4dS1GwNRrrIK2VN4AaABAg,What a great pioneer of Singapore. Wish we had men like him in today's Singapore. Sad to see how bad NTUC has become a joke,,https://www.youtube.com/watch?v=lbmLM-nIi2U,lbmLM-nIi2U,neutral,2025-11-20T00:00:00Z,5,0,0,0,0.0,500,,"{'id': 'UC_6Tjv412u-gNwB_vzpfHPg', 'name': '@ecxm91', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nlviGBNfn65Z4YXJ4hQvVRwAe3imQlpJtrDs-PjsI=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzIBTz5RhVf5-ky-Et4AaABAg,Was he communist? I'm watching the video hopefully I get an answer,,https://www.youtube.com/watch?v=lbmLM-nIi2U,lbmLM-nIi2U,neutral,2025-12-20T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCHhZHJwBzO3-IL8n56Z-7Tg', 'name': '@Sandra-w3x', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nn2r27xgt-QLsA4NOafS588bIhGJEP80r8XEC4pJEMwtmsmIosL5hG9gzQ2AyEbG8G0A=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgwSiORIhvWoIRB6dLF4AaABAg,"新加坡朋友曾告訴我一個有關新加坡牛車水唐人街懷舊的黑笑話：
1970's ~ 1980's 新加坡飛速發展期間, 在一個天黑風高的夜晚，新加坡總理李光耀獨自走在牛車水街上。當他經過一座印度廟時，其牆上的公牛塑像突然張開嘴巴對他說：「這裡昔日的景像如今都去哪兒了？你能把以前給居民送水的馬匹帶回來嗎？」李總理大吃一驚，便去向時任新加坡總統蒂凡那爾講述了事情的經過。總統不相信，於是李總理隔天清晨天還沒亮就帶他去了同一個地方。令總統驚掉下巴的是: 雕像再次張開嘴說:「我明明叫你帶回送水的馬，你為什麼帶來一頭水牛」？",,https://www.youtube.com/watch?v=lbmLM-nIi2U,lbmLM-nIi2U,neutral,2025-11-20T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UC6zGTehO6Iu_D6_Sm2vhSLA', 'name': '@jeremyxu8155', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nbnIwyYsF5KGzS2pWd-Bbv2zgtWKXIXYtKtnh9Q669BzQAGM9gxLELfbqgp3aEheu7BQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
