Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
linkedin,post,7411787513817919488,"2025 has been a truly memorable chapter in my journey, rich with meaningful experiences and marked by the opportunity to deliver BUDI95, a nation-level initiative for Malaysians.

Purpose-driven work isn’t always easy. It calls for fast learning, making tough trade-offs, and listening to what truly matters for our customers and the nation. But it matters… because it impacts people, communities and the way we move forward as a nation.

I’m thankful for the team’s resilience and the shared belief that meaningful impact takes shared responsibility.
This is only possible because of the team, the collaboration, the trust, and the shared commitment to do things better every day.

Proud of the journey we’ve taken together and energized for what’s next.

#PDB
#PDBDigital
#BUDI95",https://www.linkedin.com/posts/sazlina-ahamad_pdb-pdbdigital-budi95-activity-7411787513817919488-c3wi,neutral,2025-12-30T15:17:27.647Z,304,4,21,0,0.0,329,375.0
linkedin,post,7444715991898451968,Last day for 300 litres of Budi95,https://www.linkedin.com/posts/peter-tan-4b5959126_last-day-for-300-litres-of-budi95-activity-7444715991898451968-c9mg,neutral,2026-03-31T12:03:28.603Z,218,16,12,0,0.0,246,286.0
linkedin,post,7395945406855208960,"Reflecting on how we went live with BUDI95 at Setel, it still feels a bit surreal.

I was fortunate to get the chance to build and grow alongside some incredible leaders at Setel, and serve a team with insane agency, clock-speed, and a deep connection to the mission.  Teams with this combo don’t come by often.

After many late nights and hard work, and yes, a few new white hairs. Worth it. We’ve built a seamless fuelling experience for Malaysians (by Malaysians), and I genuinely think it helps set a new normal for how we refuel in Malaysia.

To the team, thank you for your resilience, grit, and belief.

And to Malaysians, if you haven’t tried Setel yet, give it a go 🙂",https://www.linkedin.com/posts/jonathanlaimh_reflecting-on-how-we-went-live-with-budi95-activity-7395945406855208960-bGEt,neutral,2025-11-16T22:06:35.015Z,163,3,8,0,0.0,174,193.0
linkedin,post,7414989215102320640,"Team RON95 — over & out!  

Few projects test you quite like this one.

Being part of the BUDI95 Targeted Subsidy Programme has been one of the most intense and fulfilling experiences of my career — a rare intersection of policy, technology, and national impact.

What started as a policy vision quickly became an operational reality — a system that ensures Malaysia’s fuel subsidy reaches the right people, fairly, efficiently, and transparently. Delivering it required deep collaboration across ministries, tech partners, fintechs, OilCos, and countless on-ground teams — all moving in unison toward a single goal.

This experience taught me what true execution under pressure means: long nights, endless virtual calls, constant pivots, and thousands of small decisions that made a nationwide rollout possible. It reminded me that transformation isn’t about technology alone — it’s about people, trust, and relentless problem-solving.

Seeing BUDI95 now live and running across the country is deeply humbling. It’s not just a system; it’s proof of what can be achieved when people, process, and purpose move together.

I’m deeply grateful to the team and mentors who guided, challenged, and supported me throughout this journey. Your trust, resilience, and commitment made every tough day worth it — and every milestone possible.

Here’s to building systems that work — and to the teams that make them real.

For the very last time — Sekian, terima kasih.

“BERKHIDMAT UNTUK NEGARA.”

Saya yang menjalankan amanah,
Azrain
Pasukan RON95

#BUDI95 #NationalTransformation #PublicPolicy #PolicyToExecution #OperationalExcellence #SystemsThatWork",https://www.linkedin.com/posts/azrain-aziz_budi95-nationaltransformation-publicpolicy-activity-7414989215102320640--SOr,neutral,2026-01-08T11:19:52.718Z,129,0,4,0,0.0,133,141.0
linkedin,post,7460689084508717056,"I read the news yesterday and felt instantly ""窮酸"" (like a total peasant).
 
You know that specific look an EV driver gives you while they're silently gliding past a petrol station?

This dog just explained it better than any economist ever could. 

That calm, judgmental side-eye stare saying:

""Bro, you're still counting your litres?""

The government is reportedly considering a new 150L monthly cap for the BUDI95 subsidy.

The timeline is starting to look like a countdown: 

🔹 First, it was 300L. 
🔹 Then it dropped to 200L. 
🔹 Now, we’re looking at 150L.

At this rate, some people may start driving less, taking public transport… or finally crossing over to EV.

The dog already saw this coming.

P.S. Are you feeling the ""wallet pain"" of the shrinking BUDI95 cap, or have you already defected to the EV side to avoid the side-eye?",https://www.linkedin.com/posts/yeewesley_i-read-the-news-yesterday-and-felt-instantly-activity-7460689084508717056-hXHK,neutral,2026-05-14T13:54:50.647Z,43,0,31,0,0.0,74,136.0
linkedin,post,7459519660661649410,"Преодолён ещё один полумарафон — 21 месяц работы в genau.uz в роли Country CEO.
За это время нам удалось запустить бизнес с нуля, вывести компанию на прибыль уже на 3-й месяц, масштабировать команду до 25+ сотрудников, занять лидирующие позиции на Uzum Market и войти в TOP-20 магазинов по выручке. Также мы выстроили сотрудничество с Wildberries, Yandex Market, Alif Shop, Iman, Mediapark и Radius.
Спасибо всей команде Genau, партнёрам и каждому, кто был частью этого пути. Вместе мы построили сильный и амбициозный проект, которым я действительно горжусь, стали лидерами рынка и одним из драйверов развития сегмента спортивных тренажёров в Узбекистане.
Ухожу с благодарностью, уважением и уверенностью, что у компании впереди большое будущее.
Впереди — новый этап 🚀

Обо мне и о том, что я ищу:
💼 Я ищу работу на следующие должности: Коммерческий директор, Руководитель отдела продаж, Руководитель по развитию бизнеса и Business Development Officer.
🌎 Меня интересуют вакансии в следующих регионах: Shymkent и Tashkent.
⭐ Ранее я работал(а) в компаниях: Sello!, HUMANS.group и GENAU.",https://www.linkedin.com/posts/leonid-kim-06131b63_%D0%BF%D1%80%D0%B5%D0%BE%D0%B4%D0%BE%D0%BB%D1%91%D0%BD-%D0%B5%D1%89%D1%91-%D0%BE%D0%B4%D0%B8%D0%BD-%D0%BF%D0%BE%D0%BB%D1%83%D0%BC%D0%B0%D1%80%D0%B0%D1%84%D0%BE%D0%BD-21-%D0%BC%D0%B5%D1%81%D1%8F%D1%86-activity-7459519660661649410-FZqy,neutral,2026-05-11T08:27:58.275Z,67,4,5,0,0.0,76,90.0
linkedin,post,7442024199524605952,"Resilience Through the Seasons 

With the conclusion of the recent Aidilfitri celebration, the platform that runs BUDI95 has successfully navigated its first full cycle of all Malaysia’s major festivities 2025-2026. 

From Deepavali and the year-end Christmas peak to Chinese New Year and our busiest period during Hari Raya, the platform has remained a steadfast pillar of support for the program alongside our strategic partners. 

The platform serves as the digital backbone that ensures consistent value reaches the rakyat, maintaining stability across every peak. Our focus remains on ensuring the convenience they deserve without interruption.

To the Tech & Ops teams who worked through the holidays to keep things running smoothly, thank you. Your dedication to the mission is what makes this possible. You know who you are. 

Nadi Tech 
Mohd Herman Sarbini ChenWei Tan",https://www.linkedin.com/posts/iyad-mohd-zain-213832143_resilience-through-the-seasons-with-the-activity-7442024199524605952-sYdV,neutral,2026-03-24T01:47:15.290Z,65,1,1,0,0.0,67,70.0
linkedin,post,7459157808882606082,"ما من قلب *""يسامح""* إلا عاش ""مرتاحا"".. 
وما من نفس *""ترضى بالقدر""* إلا باتت ""سعيدة""..
وما من روح تردد *""الحمد لله""* إلا كانت ""مبتسمة""..
وما من لسان بات *"" يستغفر الله""* في كل حين إلا ""فتحت له الدنيا بما فيها""
   رزقني الله وإياكم تلك الخصال

 إذا تولاك الله !! سخر لك كل شيء 
ولو كان في نظرك مستحيلاً 
( يا جبال أوِّبي معه والطير وألنَّا له الحديد ) ..
اللهم اجعلنا ممن توليتهم برحمتك 
.. وممن رضيت عنهم وأكرمتهم بكرمك يارحيم ياكريم ..
#raniaelkhayattips
#رحلة_وعي
#lifecoach
#happiness
#صانعة_السعادة
#Breakthrough
#optimism",https://www.linkedin.com/posts/rania-elkhayat-91309783_raniaelkhayattips-aezaevaesaerabraewaehaey-activity-7459157808882606082-vWw_,neutral,2026-05-10T08:30:06.088Z,57,0,1,0,0.0,58,60.0
linkedin,post,7409067499058597890,"Wins like these are never achieved alone.

As I reflect on the milestones we’ve reached this year — from the successful nationwide deployment of BUDI95 to welcoming a new oil company as a customer — I want to take a moment to recognise the partnership behind the scenes.

A special thank you to Isaac Lim , our regional Finance Director, for the unwavering support, sound judgment, and steady leadership throughout the journey. From navigating complex commercial structures to enabling the business to move fast while staying disciplined, your role was critical in turning ambition into execution.

Strong finance partnership isn’t just about numbers — it’s about trust, alignment, and enabling the organisation to deliver with confidence. This year proved exactly that.

Grateful to work alongside leaders who challenge, support, and elevate the team.

Onwards, together.

#Leadership #Partnership #Teamwork #Grateful #Execution #BUDI95",https://www.linkedin.com/posts/danieldlwl_leadership-partnership-teamwork-activity-7409067499058597890-N1uu,neutral,2025-12-23T03:09:05.593Z,47,0,0,0,0.0,47,47.0
linkedin,post,7459791967221116928,"✨ حدیثِ مبارکہ ✨

رسول اللہ ﷺ نے فرمایا:
“اللہ تعالیٰ اس کام کو پسند کرتا ہے جو مستقل مزاجی اور محنت سے کیا جائے۔”

یہ حدیث ہمیں سکھاتی ہے کہ کامیابی صرف بڑے کاموں سے نہیں بلکہ مسلسل محنت، اخلاص اور ثابت قدمی سے حاصل ہوتی ہے۔ 💙
اپنے ہر کام میں نیت کو خالص رکھیں، محنت جاری رکھیں اور اللہ تعالیٰ پر بھروسہ رکھیں۔ 🌸

📌 روزانہ تھوڑی سی کوشش بھی انسان کو کامیابی کے قریب لے جاتی ہے۔
📌 مستقل مزاجی ہی کامیاب لوگوں کی پہچان ہے۔
📌 اسلامی تعلیمات ہمیں صبر، محنت اور اچھے اخلاق کا درس دیتی ہیں۔

#Hadith #IslamicPost #UrduHadith #IslamicQuotes #HadithOfTheDay #Motivation #Success #Consistency #HardWork #IslamicReminder #UrduQuotes #Deen #Muslim #Islam #DailyHadith #InspirationalQuotes #IslamicDesign #ViralPost #ExplorePage #Trending #ElevateXCrew #SocialMediaPost #MotivationalPost #IslamicContent",https://www.linkedin.com/posts/zainab-liaqat_hadith-islamicpost-urduhadith-activity-7459791967221116928-t-NS,neutral,2026-05-12T02:30:01.218Z,24,0,2,0,0.0,26,30.0
linkedin,post,7459593486317789184,"Преди 9 години отворихме за първи път вратата към нещо, което не съществуваше в България.
Онлайн платформа, посветена изцяло на местата за събития. Само на местата за събития. Нищо повече, нищо по-малко.
Днес, 9 години по-късно, тази идея е реалност, която е помогнала на хиляди организатори да намерят правилното място за своя тиймбилдинг, конференция, сватба или фирмено парти.
9 години. Ето какво означава това за нас:
🤝 Стотици партньорски локации в цяла България хотели, зали, открити пространства, нестандартни места 📍 Единствената национална платформа, посветена изцяло на събитийните локации 📖 Създаването на Events Guide Bulgaria специализирано издание за събитиен туризъм, родено в най-трудните за сектора години 🎓 Сътрудничество с академични среди и бизнес организации защото вярваме, че платформата трябва да е мост, не просто директория 🔧 Непрекъснато надграждане - нови функционалности, нов обхват, нови начини да помагаме
9 години не e просто число, а устойчивата мисия организирането на събития да може да бъде по-лесно, по-бързо и по-добро.
На всички партньори, последователи и приятели на EventPlus.bg благодарим. 
Вие сте причината тази платформа да продължава да расте. 🙌
👉 www.eventplus.bg 

#EventPlusBG #9години #МестаЗаСъбития #eventinspiration #EventPlanningBulgaria",https://www.linkedin.com/posts/eventplus%2Ebg_eventplusbg-9aujauuaukauoautauo-ausaulauxauyaugaunaugauxavgauhauoauyauoavl-activity-7459593486317789184-V_Hc,neutral,2026-05-11T13:21:19.683Z,16,1,2,0,0.0,19,24.0
