Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise,author,author_followers
tiktok,post,7636961926018370823,#pyfツ #storywa iya lah seroyal royalnya laki² dia tetap butuh wanita yg bisa ngontrol keuangan nya bukan malah lebih boros darinya 🙇,https://www.tiktok.com/@oseawelkodanatu007/video/7636961926018370823,,,neutral,2026-06-08 21:14:45.649878,348400,23000,8332,12900000,0.5,508732,432296.0,neutral,0.7986640334129333,english,Mixed/Urban,love,0.1316957026720047,0.06559878587722778,0.11213600635528564,0.032657235860824585,0.5844651460647583,0.01888284832239151,,
tiktok,post,7605921500566195477,"Tidak perlu iri dengan hidup orang lain.Allah menulis cerita kita dengan cara yang berbeda. Fokus bertumbuh, bukan membandingkan.

#iri #selfreminder #taubat #belajarbaik #fokusbertumbuh",https://www.tiktok.com/@salim_aljufri_official/video/7605921500566195477,,,positive,2026-06-08 21:14:50.302587,269900,26800,957,3600000,0.9993740260601043,333657,329971.0,positive,0.9979134202003479,malay,Malay/Bumiputera,love,0.04769933223724365,0.027897095307707787,0.04451695457100868,0.06189962849020958,0.5955899953842163,0.03815218806266785,,
tiktok,post,7641049396435569941,"Rupiah continues to weaken, remembering how previous President Habibie tackled this issue…

Wishing we could do the same again 🫠
•
•
#investing #investasi #finance #rupiah #IHSG",https://www.tiktok.com/@ashley.habits/video/7641049396435569941,,,negative,2026-06-08 21:14:51.177390,241100,18700,2430,1800000,0.0942387342453003,280230,287590.0,negative,0.685870885848999,english,Mixed/Urban,sadness,0.06044023483991623,0.3036278784275055,0.037926483899354935,0.4414754807949066,0.05904820188879967,0.05836440622806549,,
tiktok,post,7601740753898867976,#fypシ゚ perbedaanpunyasaudarakayadengansaudarmiskin,https://www.tiktok.com/@idaase/video/7601740753898867976,,,neutral,2026-06-08 21:14:52.327774,93300,20700,18900,5200000,0.5,184900,196600.0,neutral,0.9976646900177002,malay,Malay/Bumiputera,love,0.054981887340545654,0.021883616223931313,0.0777084231376648,0.035154033452272415,0.6050131916999817,0.026396697387099266,,
tiktok,post,7630747017807088916,Komen GIFs 🫱🏼‍🫲🏽 #bmf #kedairuncitbangimurah #supportlocalbusiness #homestayostia #buymuslimfirst,https://www.tiktok.com/@murni.mart.ostia/video/7630747017807088916,,,neutral,2026-06-08 21:14:48.521725,48800,6895,21400,1200000,0.5,89095,127990.0,neutral,0.7898918390274048,english,Mixed/Urban,love,0.09984511137008667,0.032983772456645966,0.08466276526451111,0.039467599242925644,0.5524449944496155,0.028722189366817474,,
tiktok,post,7325703045466115333,"Paham‼️

#sindiranhalus #fypシ #fyp #motivasi #sindiran #katakata",https://www.tiktok.com/@widyaastutik88/video/7325703045466115333,,,neutral,2026-06-08 21:14:40.964302,23300,21000,264,2400000,0.5,68564,68492.0,neutral,0.7114394307136536,english,Mixed/Urban,no_clear_emotion,0.04202206805348396,0.04142041504383087,0.1860414296388626,0.026479534804821014,0.1653686910867691,0.027926292270421982,,
tiktok,post,7647907153004547349,"BGN membatasi dapur MBG maksimal enam unit per kecamatan untuk menata lebih dari 27.000 SPPG yang beroperasi.

Karena sebarannya menumpuk di aglomerasi, pendaftaran SPPG dihentikan sementara sambil dievaluasi lagi.

~RK #BGN #MBG",https://www.tiktok.com/@kompascom/video/7647907153004547349,,,neutral,2026-06-08 21:14:50.592890,28400,4368,3831,1300000,0.5,49599,49929.0,neutral,0.869229257106781,english,Mixed/Urban,anger,0.3456425368785858,0.13563409447669983,0.028870727866888046,0.061981428414583206,0.042272329330444336,0.09380485862493515,,
tiktok,post,7345302176383716614,"Terkesan pahit, tapi ini NYATA adanya😢 
Pernah ngalamin?😢 dibeda bedain begini?😢 
Tidak semua orang begitu, tp yg begitu banyak 😔 
Follow dulu bund, biar gak ketinggalan🥺 
.
.
.
.
.
#fyp #fypage #real #relatable #relationships #sketsa",https://www.tiktok.com/@ifham_kholi/video/7345302176383716614,,,negative,2026-06-08 21:14:49.097191,18600,5252,1962,1700000,0.0005525887012481911,42814,36690.0,negative,0.9981580376625061,malay,Malay/Bumiputera,sadness,0.05327155068516731,0.1122635006904602,0.012693037278950214,0.43654265999794006,0.21459543704986572,0.12118050456047058,,
tiktok,post,7433376966960483592,"Toko Anda Sepi Karena Diguna Guna Orang?? Coba Lakukan Ini!!

#tips #hutang #infotemen #warung #toko",https://www.tiktok.com/@mix_magz/video/7433376966960483592,,,neutral,2026-06-08 21:14:49.380780,14000,8677,317,1700000,0.5,39994,34005.0,neutral,0.8314704298973083,english,Mixed/Urban,sadness,0.17793995141983032,0.16575829684734344,0.016319680958986282,0.3895741105079651,0.16785436868667603,0.03691337630152702,,
tiktok,post,7492466146315095302,"🚫💵 Uang Rp 75.000 Ditolak Restoran, Bank Indonesia Bicara! – Jakarta
Baru-baru ini, masyarakat dihebohkan oleh video viral yang menunjukkan sebuah restoran menolak pembayaran menggunakan uang pecahan Rp 75.000 edisi peringatan HUT ke-75 RI 🎥💸. Hal ini menimbulkan pertanyaan, apakah uang tersebut sudah tidak berlaku?

💡 Bank Indonesia Klarifikasi
Menanggapi insiden itu, Bank Indonesia (BI) menegaskan bahwa uang pecahan Rp 75.000 masih sah digunakan di seluruh Indonesia. Kepala Departemen Pengelolaan Uang BI, M. Anwar Bashori, menyebut uang tersebut merupakan Uang Peringatan Kemerdekaan 75 Tahun dan belum dicabut dari peredaran 💬.

📅 Sejak 2020 Sah Dipakai
Berdasarkan Peraturan Bank Indonesia Nomor 22/11/PBI/2020 Pasal 12, uang tersebut mulai berlaku sebagai alat pembayaran sah sejak 17 Agustus 2020 🗓️.

⚖️ Sanksi untuk Penolakan
BI mengingatkan bahwa menolak Rp 75.000 melanggar Undang-Undang Mata Uang (UU No. 7/2011). Pelaku usaha yang menolak bisa dikenakan hukuman pidana hingga 1 tahun dan denda maksimal Rp 200 juta 💰.

🛑 Larangan Menolak Rupiah
Penolakan uang rupiah dalam transaksi bisa dikenakan sanksi pidana sesuai UU No. 4/2023 yang mengatur penguatan sektor keuangan 🏛️.

Sebagai penutup, BI mengimbau pelaku usaha untuk menerima uang tersebut dalam transaksi sehari-hari, demi mendukung kestabilan ekonomi 🇮🇩.

#Uang75Ribu #BankIndonesia #UangPeringatan75 #MataUang #RestoranMenolak #HukumRupiah #Keuangan #Indonesia #RupiahTetapSah 💵⚖️

#YunbiMediaNusantara",https://www.tiktok.com/@yunbimedianusantara/video/7492466146315095302,,,negative,2026-06-08 21:14:49.669578,17900,706,1432,1900000,0.0005404293537140115,39038,25508.0,negative,0.9981985688209534,malay,Malay/Bumiputera,no_clear_emotion,0.20666305720806122,0.07827134430408478,0.050267498940229416,0.09968368709087372,0.2114918977022171,0.062139347195625305,,
