Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,2148542262332270,"Assalamualaikum,

Cuma nak berkongsi pengalaman.
Hampir 7 bulan berubat kesana sini akibat sihir perniagaan yang menyebabkan kejatuhan bisnis, masalah rumah tgga Dan hampir berpisah.. 

Puas berubat disana sini sehingga ada seorang hamba Allah orang Johor rekomen seorang ustaz di Pahang. Ambil masa seminggu juga berfikir nak berubat atau tidak sebab dah hampa sgt tidak ada jalan keluar dan takut berlaku lagi kegagalan walaupun namanya ikhtiar. Akhirnya putuskan dengan suami untuk berhubung dgn Ustaz Asri (Perawat yang dimaksudkan). 

Mula berhubung ustaz agak berat nak terima sebab ustaz ada Madrasah dan beliau bukan sepenuh masa merawat hny untuk mencari dana utk pondok. Bila dicerita masalah, kami mula ikhtiar dengan dari pihak ustaz Dan kami sendiri juga disuruh untuk buat beberapa amalan khusus. Hampir 3 minggu ikhtiar, Alhamdulillah nampak makin positif. Ustaz kata kena mulakan dari yang berkait keluarga dulu baru bisnis. Seminggu yang pertama tu dah mula nampak kesan positif dekat suami.. suami dah x panas baran, rumah pun dah x ada bunyi pelik². Kemudian kami minta ustaz ikhtiar bantu di restoran pula sebab ramai yang lalui restoran tapi kata tutup. Kalau pun org dtg sangat sedikit. Sampai x mampu nk byr gaji pekerja. 4 hari pertama rawatan untuk bisnis kami, Allah izinkan orang mula dtg. Ada yang tny kenapa lama x bukak.. kami diam shj.. sehingga kini syukur sgt.. rumah tangga dah ok.. bisnis pun semakin baik.. syukur sgt.. alhamdulillah.. 

Sy berkongsi rasa syukur ini agar jika ada yg mengalami jangan rasa down dan terus berikhtiar.. dengan izin ustaz, disini Sy kongsikan no Telefon ust.. cuma pesanan ustaz, jika nk merawat.. perlu komitmen bersama.. x blh 100% letak semua pd perawat shj.. 

0177144364 - Ust Asri",https://www.facebook.com/groups/416287575557756/posts/2148542262332270/,,,neutral,1750026723,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoyMTQ4NTQyMjYyMzMyMjcwXzIxNDg3MTQ1NTU2NDgzNzQ=,Guna juga Garam Gamunggal,,https://www.facebook.com/groups/416287575557756/posts/2148542262332270/,2148542262332270,neutral,2025-06-16T01:16:49.000Z,1,0,0,0,0.0,1,,Shafiee Fiee,0.0
facebook,comment,Y29tbWVudDoyMTQ4NTQyMjYyMzMyMjcwXzIxNDg2OTkzNzU2NDk4OTI=,Semoga Allah mewahkan rezeki dan melindungi puan dan keluarga,,https://www.facebook.com/groups/416287575557756/posts/2148542262332270/,2148542262332270,neutral,2025-06-16T00:48:40.000Z,1,0,0,0,0.0,1,,Muhammad Amirul,0.0
facebook,comment,Y29tbWVudDoyMTQ4NTQyMjYyMzMyMjcwXzIxNDg2NjQxMjIzMjAwODQ=,Semoga Allah melindungi dan merahmati puan sekeluarga.... Aamiin,,https://www.facebook.com/groups/416287575557756/posts/2148542262332270/,2148542262332270,neutral,2025-06-15T23:38:26.000Z,1,0,0,0,0.0,1,,CheNie Zai,0.0
facebook,comment,Y29tbWVudDoyMTQ4NTQyMjYyMzMyMjcwXzIxNDg2NDkzNzg5ODgyMjU=,semoga puan dimudahkan urusanNya,,https://www.facebook.com/groups/416287575557756/posts/2148542262332270/,2148542262332270,neutral,2025-06-15T23:05:10.000Z,1,0,0,0,0.0,1,,Din Bin HjNoh,0.0
facebook,post,1556797985586180,"Restoran kami nak belanja sesiapa yang Dine in ke restoran kami makan percuma hari ini.
Semuanya free.

Bawa family pun tak apa.

Cuma kena whatsapp dulu before datang

7 ptg-10 malam ni.

Hari ini Sabtu 6 December sahaja 

Cara untuk makan free di restoran kami  :
Whatsapp dulu untuk reservation 👍🏻

[Update: Link whatsapp dah tutup]

Whatsapp dulu before datang takut penuh nanti kecewa 😬

Asyik kira untung je,
sekali sekala kita kira sedekah pula🙂
Tak akan susut harta orang bersedekah ni 💪🏼

lokasi kami : https://maps.app.goo.gl/4KHMbnEfR5Y1i2Fx9?g_st=ic",https://www.facebook.com/groups/482332066366116/posts/1556797985586180/,,,neutral,1765018010,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxNTU2Nzk3OTg1NTg2MTgwXzE1NTY4MDcwODIyNTE5Mzc=,Betul ke ya benar,,https://www.facebook.com/groups/482332066366116/posts/1556797985586180/,1556797985586180,neutral,2025-12-06T11:01:20.000Z,0,0,1,0,0.0,2,,Yussuf Hamzah,0.0
facebook,comment,Y29tbWVudDoxNTU2Nzk3OTg1NTg2MTgwXzE1NTY5MDg5NDU1NzUwODQ=,Terimakasih Tuan kedai. Murah rezeki selalu,,https://www.facebook.com/groups/482332066366116/posts/1556797985586180/,1556797985586180,neutral,2025-12-06T13:41:57.000Z,0,0,0,0,0.0,0,,Aldinaali,0.0
facebook,comment,Y29tbWVudDoxNTU2Nzk3OTg1NTg2MTgwXzE1NTY4NzM3MzU1Nzg2MDU=,Terima kasih tuan kedai,,https://www.facebook.com/groups/482332066366116/posts/1556797985586180/,1556797985586180,neutral,2025-12-06T12:48:50.000Z,0,0,0,0,0.0,0,,Saufik Zulkifli,0.0
facebook,post,1593859552746116,"Ayam Gepuk Artisan - PENGOTOR. 
JIM MARK kaitkan HICD, Marah sebab kena block . 

Pilihan 
A. Bersih + Halal + Ayam Sembelih 
B. Bersih berkilat + Tak Halal + Ayam tak Sembelih + Peralatan biasa masak Babi 
C. Tak Bersih pengotor + Halal + Ayam Sembelih 
D. Tak Bersih pengotor + Tak Halal + Ayam Tak sembelih + Biasa makan Babi .
Pilihan ditangan anda. Kerana setiap premis akan di tampal Lesen pemilik beserta GRED A, B, C dan Sijil Bess. 

Dia keliru dan cuba ajak Netizen untuk keliru sekali. 

Jika ada bukti kotor Report KKM lah , biar KKM ambil tindakan. Macam Restoran steambot yang ditutup 14 hari. Tak Bersih Premis kotor - KKM tutup . Nak report JAKIM Kah ? Tiber nak kaitkan HICD 😆 . 

Apaa daaaa. 

Ramai Type M dikelirukan dengan posting ini dan hampir ikut sama apa yang JIM MARK faham. 😬. Sebab apa? Sebab ramai Messenger sindir kami😬 .

Tak faham Fungsi - JAKIM 
Tak faham Peranan - KKM

Najis berat vs Najis ringan.",https://www.facebook.com/halalinquirydirektori/posts/pfbid0S1YcYEiVw4rRriBRn2VbqnqDwnp6n3rRJC3AjAuL8zzw4c7vGkqcZmr8s7uU4Yftl,,,neutral,1778982562,0,0,0,0,0.0,0,0.0,,
