platform,content,sentiment_score,engagement,url,date
x,"The Legend of Kitchen Soldier nangkring di peringkat 2 Drama Terbaik Paruh Pertama 2026 hasil voting 50 orang dalam industri hiburan (jurnalis, PD, agensi) 👏👏👏

Kitchen Soldier dinilai sukses besar me",0.0004803478717804177,239,https://x.com/ch_sj2013/status/2074332608205578297,2026-07-07 03:20:07+00:00
x,KJ: Hak Melayu N Sembilan terancam jika Umno tiada dalam k'jaan negeri https://t.co/Mi0phmxpqA,0.0004806697368621715,2448,https://x.com/mkini_bm/status/2073661223653228988,2026-07-05 06:52:17+00:00
x,"Yang bikin nilai PISA jeblok kok dibela. 

Yang bikin aturan anak harus naik kelas terus meskipun gak bisa calistung kok dibela

Yang ngadain chromebook pas jaman covid kok dibela

Yang bikin dosen me",0.0004806697368621715,12,https://x.com/dipanggilarman/status/2072041593067246016,2026-06-30 19:36:27+00:00
x,"LOKER SERAM:
- KONTRAK 1 TAHUN,
- GAJI GAK DITULIS,
- BENEFIT GAK DIJELASIN
- SYARAT DEWA

***

PERSYARATAN UMUM
1. Warga Negara Indonesia
2. Berusia paling tinggi 40 tahun untuk DTT Jenjang S3 dan 35",0.0004807412624359131,1428,https://x.com/ardisatriawan/status/2074249008978256347,2026-07-06 21:47:56+00:00
x,"Bareskrim baru bongkar modus penyelundupan sabu yang bikin gw menghela napas panjang 😔 dua kurir bawa 500 GRAM SABU dari Pekanbaru ke Sumbawa dengan cara... dimasukin ke DALAM PERUT lewat ANUS 💀 iya, ",0.0004807770252227561,2267,https://x.com/ruhulanakgaul/status/2072875741679911274,2026-07-03 02:51:03+00:00
news,"Tidak benar pemimpin kerajaan ikut telunjuk DAP - Loke. SEREMBAN: Semua dasar dan keputusan kerajaan, sama ada di peringkat Persekutuan mahupun di Negeri Sembilan dibuat secara kolektif menerusi perbi",0.000481170415878307,0,https://www.bharian.com.my/berita/nasional/2026/07/1584146/tidak-benar-pemimpin-kerajaan-ikut-telunjuk-dap-loke,2026-07-07 17:20:35+00:00
x,-ness kalian yang TA nya artikel (khususnya yang ga sidang) pas mau minta nilai ke dosbing gimana caranya? chat kah atau ketemu langsung?? (kindly reply pls aku deg2an😭🙏🏻),0.00048124194145204857,103,https://x.com/unicefess/status/2074007197713883333,2026-07-06 05:47:03+00:00
x,"@mkini_bm Wahai anak muda, pakcik selalu pesan.. KJ ni datang dalam 2 jelmaan, kalau menyerang rakan sendiri biasanya datang dalam bentuk ular.. tapi hari ni lain skit, dia datang dalam bentuk babi 🤣",0.00048134922981263317,3,nan,2026-07-06 11:27:19+00:00
x,"Kenapa iPhone yang di Amerika ""cuma"" 13 juta bisa jadi 17 juta di Indonesia? 
Ini bukan cuma soal ""orang Indonesia kena mahal"", 
tapi ada rentetan biaya resmi yang nempel di harga jual. Berikut rincia",0.0004815638065338024,71,https://x.com/Hidupsebagai62/status/2073217472384356845,2026-07-04 01:28:58+00:00
x,"@harakahdailyHD Tahu dah… dia minta 5 hari jer bukan 5 tahun… berubah semuanya.. hudud boleh buat, RUU355 terlaksana… walaung semua naik bmw volvo 😂😂😂 itulah mimpi yang benar",0.00048213601112367943,1,nan,2026-07-01 13:31:56+00:00
x,"@harakahdailyHD Tahu dah… dia minta 5 hari jer bukan 5 tahun… berubah semuanya.. hudud boleh buat, RUU355 terlaksana… walaung semua naik bmw volvo 😂😂😂 itulah mimpi yang benar",0.00048213601112367943,1,nan,2026-07-01 13:31:56+00:00
x,"Minda Presiden PAS

PERPADUAN UMAT PERINTAH ALLAH, BUKAN PERKARA DONGENG

Kini, umat Islam kehilangan kerajaan kuasa besar Islam dengan kejatuhan Kerajaan Turki ‘Uthmaniyyah akibat perpecahan umat Isl",0.00048227906227110706,116,https://x.com/abdulhadiawang/status/2072859273760256110,2026-07-03 01:45:37+00:00
x,"Setiausaha politik kepada Perdana Menteri Anwar Ibrahim membidas Khairy Jamaluddin kerana mendakwa menteri besar sementara Negeri Sembilan, Aminuddin Harun, gagal menjaga kepentingan masyarakat Melayu",0.00048286914825440563,133,https://x.com/mkini_bm/status/2074062032496906683,2026-07-06 09:24:57+00:00
x,@mkini_bm kj ni memang muka penyangak aku pun tak tau apa sumbangan dia selain temberang dia dekat ks yg dia dpt servey 50% belakang pmx bodo sapa pilih dia,0.0004830479621887318,3,nan,2026-07-06 10:16:06+00:00
x,"Panenka Salah dan #ceritabrand Vodafone 

Ketika ditanya kenapa panenka, Bang Salah bilang ke ESPN: “I decided last minute. I don’t know if it’s my last World Cup so I had to do it.”

Sebelum momen in",0.0004831194877624734,35,https://x.com/rskuntowiyoga/status/2073210375643029972,2026-07-04 01:00:46+00:00
x,@abdulhadiawang Hari-hari membebel perpaduan. Ini hipokrasi ahli politik yang menunggang semua untuk nafsu pangkat dan kebendaan mereka.,0.000483262538909901,0,nan,2026-07-03 06:37:16+00:00
tiktok,"Amaran Penipuan Baharu! 
Komuniti perniagaan tempatan kini berdepan dengan satu bentuk penipuan baharu yang semakin canggih apabila beberapa usahawan dan pemilik syarikat dilaporkan menerima mesej dar",0.0004835844039917103,35,https://www.tiktok.com/@shawnloh.official/video/7647170553358470407,2026-07-07 12:01:16.110905+00:00
