Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,QueryID,Lang,Community,CommunityLabel,PublisherDomain,PublisherGuess,SeedQuery,CrawlMethod,SourceName,PostID,SourceID,sentiment_label,sentiment_confidence,emotion_primary,detected_language,demographic,analysis_mode,geo_ns,narrative_solo,narrative_split
news,post,e745c8e25864ec21,"PGA8 rampas 200 peranti vape di tepi Sungai Golok. PASIR MAS: Batalion 8 Pasukan Gerakan Am (PGA8) merampas 200 unit peranti vape dianggarkan bernilai RM20,000 yang ditinggalkan di tepi Sungai Golok di Pangkalan Haram Pok Dik, di sini. Komander Briged Tenggara PGA, Senior Asisten Komisioner Ahmad Radzi Hussain, berkata terdahulu pasukannya membuat r",https://www.bharian.com.my/berita/nasional/2026/06/1571189/pga8-rampas-200-peranti-vape-di-tepi-sungai-golok,neutral,2026-06-13T12:40:07+00:00,0,0,0,0,0.5,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,neutral,0.55,neutral,en,Unknown,keyword_fallback,False,False,False
news,post,ed26e7684489712a,"PRN Johor, Negeri Sembilan berasingan beri kelebihan kepada BN?, Ini penjelasan Khaled Nordin. KOTA TINGGI: Peluang menang mana-mana parti, termasuk Barisan Nasional (BN) pada Pilihan Raya Negeri (PRN) Johor atau Negeri Sembilan ditentukan oleh kesediaan dan keupayaan sendiri, bukannya kerana diadakan serentak atau berasingan. Naib Presiden UMNO, Datuk Seri Mohamed Khaled Nordin, berkata BN t",https://www.bharian.com.my/berita/nasional/2026/06/1571176/prn-johor-negeri-sembilan-berasingan-beri-kelebihan-kepada-bn-ini,positive,2026-06-13T12:22:38+00:00,0,0,0,0,0.85,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,positive,0.55,joy,ms,Malay,keyword_fallback,True,False,False
news,post,71549ffb9120990c,"Tulang ikan terubuk kini boleh dilembutkan, tingkat potensi komersial. KOTA BHARU: Penyelidik Universiti Malaysia Kelantan (UMK) berjaya membangunkan teknologi inovatif pelembutan tulang terubuk, yang membolehkan ikan itu dimakan bersama tulangnya dengan selamat tanpa menjejaskan rasa, tekstur dan nilai pemakanan. Ketua projek Prof Dr Raja Suzana Raja Kasim, berkata te",https://www.bharian.com.my/berita/nasional/2026/06/1571168/tulang-ikan-terubuk-kini-boleh-dilembutkan-tingkat-potensi-komersial,positive,2026-06-13T12:01:36+00:00,0,0,0,0,0.85,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,positive,0.55,joy,ms,Malay,keyword_fallback,False,False,False
news,post,d8efdaffeebb4f2f,"PRN Johor: Majoriti tipis, 10 DUN kerusi panas. JOHOR BAHRU: Sekurang-kurangnya 10 kawasan Dewan Undangan Negeri (DUN) dikenal pasti sebagai kerusi panas dalam Pilihan Raya Negeri Johor (PRN) pada 11 Julai ini, berikutan kemenangan majoriti nipis oleh penyandangnya, selain perebutan parti komponen gabungan yang mahu meletakkan calon. Tujuh kerusi",https://www.bharian.com.my/berita/nasional/2026/06/1571152/prn-johor-majoriti-tipis-10-dun-kerusi-panas,positive,2026-06-13T11:45:44+00:00,0,0,0,0,0.85,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,positive,0.55,joy,ms,Malay,keyword_fallback,False,False,False
news,post,a7900a5e48bb1f00,"PRN Negeri Sembilan: 4 penyandang goyah, berisiko. SEREMBAN: Lebih 10 kerusi Dewan Undangan Negeri (DUN) bakal menjadi tumpuan pada Pilihan Raya Negeri (PRN) Negeri Sembilan ke-16, yang dijadualkan berlangsung pada 1 Ogos depan. Situasi itu berlaku berikutan beberapa faktor, termasuk majoriti kemenangan di bawah 1,000 undi pada PRN yang lalu, status",https://www.bharian.com.my/berita/nasional/2026/06/1571137/prn-negeri-sembilan-4-penyandang-goyah-berisiko,negative,2026-06-13T11:27:01+00:00,0,0,0,0,0.25,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.55,concern,ms,Malay,keyword_fallback,True,False,False
news,post,e564d08f382caed5,"Kemelut Negeri Sembilan bukan hanya politik, tapi..... Seremban: Di sebalik kemelut pemerintahan Negeri Sembilan yang terus mencetuskan perhatian ramai, pengamal media arus perdana berdepan antara cabaran paling sukar apabila perlu menyalurkan maklumat yang pantas, tepat dan berimbang di tengah-tengah lambakan spekulasi serta maklumat tidak sahih yang b",https://www.hmetro.com.my/mutakhir/2026/06/1369320/kemelut-negeri-sembilan-bukan-hanya-politik-tapi,neutral,2026-06-13T11:10:16+00:00,0,0,0,0,0.5,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,neutral,0.55,neutral,en,Unknown,keyword_fallback,True,False,False
news,post,32dca8ea8908f20b,"Kemelut di Negeri Sembilan uji kredibiliti media. SEREMBAN: Di sebalik kemelut pemerintahan Negeri Sembilan yang terus mencetuskan perhatian ramai, pengamal media arus perdana berdepan antara cabaran paling sukar apabila perlu menyalurkan maklumat yang pantas, tepat dan berimbang di tengah-tengah lambakan spekulasi serta maklumat tidak sahih yang b",https://www.bharian.com.my/berita/nasional/2026/06/1571096/kemelut-di-negeri-sembilan-uji-kredibiliti-media,neutral,2026-06-13T10:21:29+00:00,0,0,0,0,0.5,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,neutral,0.55,neutral,en,Unknown,keyword_fallback,True,False,False
news,post,b75fb9d44bb0ed60,"Bekas Speaker DUN Perlis dakwa kedudukan kerajaan negeri goyah, syor adakan PRN segera. KANGAR: Pentadbiran kerajaan negeri ketika ini didakwa goyah susulan pergolakan politik dalaman Perikatan Nasional (PN) membabitkan hubungan antara PAS dan BERSATU. Bekas Speaker Dewan Undangan Negeri (DUN) Perlis, Datuk Hamdan Bahari, berkata situasi itu meletakkan keabsahan kerajaan negeri dalam k",https://www.bharian.com.my/berita/nasional/2026/06/1571082/bekas-speaker-dun-perlis-dakwa-kedudukan-kerajaan-negeri-goyah-syor,negative,2026-06-13T09:59:28+00:00,0,0,0,0,0.25,0,BH,bm,melayu,Komuniti Melayu,bharian.com.my,melayu,direct:BH,direct_scrape,Berita Harian,,BH,negative,0.55,concern,ms,Malay,keyword_fallback,False,False,False
news,post,87f6a667fd110df9,"PRN Negeri Sembilan: Pembahagian parti gabungan PH selesai, paling pantas - Aminuddin. am@hmetro.com.my Seremban: Pakatan Harapan (PH) Negeri Sembilan kekal untuk bergerak solo apabila akan bertanding semua 36 kerusi Dewan Undangan Negeri (DUN) pada Pilihan Raya Negeri (PRN) Ke-16, pada 1 Ogos depan. Menteri Besar merangkap Pengerusi PH negeri, Datuk Seri Aminuddin Harun, berkata pemb",https://www.hmetro.com.my/mutakhir/2026/06/1369299/prn-negeri-sembilan-pembahagian-parti-gabungan-ph-selesai-paling-pantas,neutral,2026-06-13T09:51:57+00:00,0,0,0,0,0.5,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,neutral,0.55,neutral,en,Unknown,keyword_fallback,True,True,False
news,post,2f42f70fb8ac1710,"Sanusi yakin menang 36-0, 15-0 di Kedah. hifzuddin@bh.com.my Alor Setar: Datuk Seri Muhammad Sanusi Md Nor yakin PAS bersama rakan gabungannya mampu memenangi kesemua 36 kerusi Dewan Undangan Negeri (DUN) Kedah pada Pilihan Raya Negeri (PRN) akan datang. Menteri Besar Kedah itu berkata, beliau turut yakin parti itu mampu menyapu bersih 15 ",https://www.hmetro.com.my/mutakhir/2026/06/1369269/sanusi-yakin-menang-36-0-15-0-di-kedah,positive,2026-06-13T08:24:29+00:00,0,0,0,0,0.85,0,HMETRO,bm,melayu,Komuniti Melayu,hmetro.com.my,melayu,direct:HMETRO,direct_scrape,Harian Metro,,HMETRO,positive,0.55,joy,ms,Malay,keyword_fallback,False,False,False
