Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score
instagram,post,3894307153414076907,"📢 政府已同意取消对马来西亚富人的燃油补贴‼️ 

目前仍在进行研究，以确定哪些特定收入群体将受到影响～
并确保该措施不会加重中上层收入群体的负担～

#KLNOW #KLNOW就在吉隆坡 #NOWBuzz #燃油津贴 #BUDI95",https://www.instagram.com/p/DYLW7kdgjnr/,neutral,2026-05-11T00:00:12.000Z,763,0,79,0,0.0,842,1000.0
instagram,post,3895288814453013109,"Kuota petrol bersubsidi di bawah program BUDI95 mungkin diturunkan sekali lagi kepada 150 liter sebulan berbanding 300 liter semasa awal diperkenalkan pada 30 September tahun lepas dan 200 liter sejak 1 April lalu.

Keputusan itu adalah sejajar dengan usaha kerajaan untuk memastikan keterjaminan bekalan bahan api domestik dalam berdepan krisis bekalan global susulan konflik Asia Barat.

#malaysiagazette
#BUDI95
#150Liter

Berita lanjut layari www.malaysiagazette.com",https://www.instagram.com/p/DYO2InjBjp1/,neutral,2026-05-12T08:30:41.000Z,408,0,77,0,0.0,485,639.0
instagram,post,3895868558434030525,"Ramai haritu mintak aku update bil letrik lepas sebulan pakai Proton e.MAS 7 PHEV. So ni actual calculation sepanjang sebulan aku guna kereta ni. 

Pengiraan yang aku share  sekadar pengiraan anggaran kasar berdasarkan penggunaan aku sendiri sepanjang sebulan yang lepas.

Untuk korang faham dulu, cycle bil letrik rumah aku adalah dari 12hb sampai 10hb setiap bulan.

Bil sebelum pakai PHEV:
⚡ 12 Mac - 10 April = RM268.45
(Ini memang range bil letrik rumah aku sebelum2 ni)

Aku dapat kereta ni pada 15 April. So memang ngam sangat untuk buat comparison.

Bil terbaru:
⚡ 11 April - 10 Mei = RM377.50

Maksudnya beza bil letrik selepas pakai e.MAS 7 PHEV:
👉 RM109.05 sahaja

Sepanjang bulan lepas, aku ada jugak try cas guna DC Charger luar sebab nak test experience fast charging.

⚡ DC Charger luar:
3 kali cas = RM70.16

Aku ada jugak isi minyak full sekali dekat Petronas sebab nak manfaatkan quota April haritu:
⛽ RM70.01

Jadi total keseluruhan kos penggunaan e.MAS 7 PHEV aku untuk sebulan adalah:

RM109.05 — cas rumah 
RM70.16 — DC Charger luar 
RM70.01 — isi minyak 

TOTAL = RM249.22

Sekarang compare dengan kereta lama aku pulak…

🚘 Nissan Serena C27 FL
Purata minyak sebulan:
RM85 x 5 kali isi = RM425

Maknanya lepas tukar ke e.MAS 7 PHEV:

✅ Dari RM425 turun ke RM249.22 
✅ Beza penjimatan = RM175.78 sebulan

Ini pun belum fully optimize lagi sebab bulan lepas aku masih try DC Charger luar.

Untuk bulan ni aku dah stop cas dekat luar sebab lagi prefer cas dekat rumah je. Jauh lebih murah.

So kemungkinan besar bulan ni lagi rendah daripada RM249. InsyAllah

Kesimpulan untuk penggunaan aku sendiri, memang nampak jimat. Tapi untuk orang lain aku tak boleh confirm sebab lain orang, lain penggunaan… lain corak perjalanan… dan lain cara spending masing-masing

#baihaqigetb #protonemas7phev #budi95 #PlugInHybrid #phev",https://www.instagram.com/p/DYQ59ANEtO9/,neutral,2026-05-13T03:42:24.000Z,476,0,18,0,0.0,494,530.0
instagram,post,3895326334432562410,"Tarik subsidi petrol BUDI95 mungkin nampak bijak, tapi kesannya boleh makan balik ekonomi negara.

Ramai fikir bila subsidi petrol BUDI95 ditarik dari golongan T20, negara terus jimat. Tapi realitinya, subsidi petrol BUDI95 yang ditarik boleh cipta rantaian ekonomi — pemilik bisnes kurangkan kos pekerja, pengguna kurangkan belanja, dan peniaga kecil mula terasa tempias. Kesan ini bukan terus nampak hari ini, tapi selalunya 2–3 bulan kemudian bila aliran tunai semakin ketat.

Kalau kerajaan nak buat subsidi bersasar Malaysia, bantuan yang ditarik patut diganti dengan solusi lain supaya adil kepada pembayar cukai dan zakat T20 yang banyak menyumbang. Lagi penting, fokus kepada mentaliti, pendidikan kewangan, dan peluang naik taraf hidup B40 untuk kesan jangka panjang.

Setuju atau tidak? Comment pandangan anda dan save post ini untuk rujukan nanti.

#SubsidiPetrolBUDI95 #BUDI95 #SubsidiMinyak #EkonomiMalaysia #T20 B40 HargaMinyak BantuanKerajaan KewanganMalaysia IsuSemasaMalaysia",https://www.instagram.com/p/DYO-qmwE8zq/,neutral,2026-05-12T09:55:00.000Z,231,0,62,0,0.0,293,417.0
instagram,post,3890406624744918391,"Seorang pekerja stesen minyak warga Bangladesh didenda RM10,000 oleh Mahkamah Majistret Kuala Lumpur hari ini selepas mengaku memiliki dan menggunakan MyKad milik dua rakyat Malaysia untuk tujuan pembelian petrol bersubsidi Budi MADANI RON95 (BUDI95), bulan lepas. 

Md Jakir Hossain, 50, membuat pengakuan itu selepas kedua-dua pertuduhan dibacakan di hadapan Majistret Aina Azahra Arifin.

Lelaki itu didakwa menggunakan kad pengenalan milik dua individu yang bukan kepunyaannya, tanpa kuasa dan alasan sah bagi tujuan pembelian petrol bersubsidi di sebuah stesen minyak di Jalan Pahang, pada 8 Feb hingga 22 April lepas.

Berita penuh klik pautan di IG story atau layari Bernama.com 

#BernamaNews 
#Subsidi #petrol 
#BUDI95",https://www.instagram.com/p/DX9gDaDv013/,neutral,2026-05-05T14:51:50.000Z,282,0,18,0,0.0,300,336.0
instagram,post,3898837398779319601,"Here’s how you can claim RM10 worth of vouchers for BUDI95 petrol in a few simple ways. 

#ulagamarticle #budi95",https://www.instagram.com/p/DYbc_UPP9Ux/,neutral,2026-05-17T06:01:04.000Z,333,0,0,0,0.0,333,333.0
instagram,post,3899485391757075641,"【简单来说，政府可依据车辆现值决定补贴等级，豪华车减少甚至取消补贴，普通国产车则继续享有较高补贴。#许文谦】
#南洋商报 #言论 #汽油补贴 #BUDI95 #RON95 #nanyangsiangpau

点击story（Swipe Up）看更多

Disclaimer: The caption may have been automatically translated by Instagram. In the event of any discrepancies, the original Chinese version shall prevail. We are not responsible for any inaccuracies resulting from the auto-translation.",https://www.instagram.com/p/DYdwU2ugWS5/,neutral,2026-05-18T03:28:25.000Z,259,0,24,0,0.0,283,331.0
instagram,post,3895249960182055168,"【人民如今担心的，已经不光是油钱，而是政府似乎不断在试水温。今天说T20，明天变成150公升，后天会不会再有新版本？#何燕羚】
#南洋商报 #RON95 #BUDI95 #petrol #nanyangsiangpau

点击story（Swipe Up）看更多

Disclaimer: The caption may have been automatically translated by Instagram. In the event of any discrepancies, the original Chinese version shall prevail. We are not responsible for any inaccuracies resulting from the auto-translation.",https://www.instagram.com/p/DYOtTNsAYEA/,neutral,2026-05-12T07:13:22.000Z,210,0,27,0,0.0,237,291.0
instagram,post,3895471504302055468,"到底这个政府现在是什么情况？

短短48小时内，RON95汽油补贴课题就出现多个版本。

先是首相拿督斯里安华说原则上同意取消富裕群体补贴，细节近期敲定；隔天，财政部副部长刘镇东又提到每月配额或可从200公升下调至150公升；结果引发民间和朝野炮轰后，又澄清说不是政策建议，只是在解释概念；再到交通部长陆兆福出来说明，内阁根本没有针对T20补贴作出任何决定，首相当时也不是政策宣布。

人民听到这里，肯定很想问：所以到底哪一个版本才是真的？

这样的国家治理，确实让人头疼。

政府不能一边说“还在研究”，一边又让不同部长、副部长不断把不同方向抛出来，让市场和人民自己去猜、去怕、去消化。

今天听到T20可能没补贴，月入1万多令吉的家庭开始焦虑；明天又听到配额可能砍到150公升，长距离通勤族又开始担心；后天部长再出来说，内阁还没有决定，政策没有改变。

请问，人民的情绪是开关吗？市场的信心是玩具吗？

政府必须明白，燃油补贴不是普通课题。RON95牵动的是日常交通、工作成本、物流价格、家庭预算，甚至商家的现金流。

任何一句话，只要从部长口中说出来，就不会只是“个人看法”或“概念说明”。

在人民眼中，那就是政策风向。

所以，官员说话不能随意，更不能今天放风，明天澄清，后天再修正。政策还没定，就不要急着讲；要讲，就必须有完整框架、执行时间。

否则，越讲越乱，越解释越像补洞。

补贴改革本来就不容易，政府需要建立人民信任，而不是制造更多疑虑。人民并没有完全反对改革，而是无法接受不透明、不清楚，以及那种“今天说一套、明天又一套”的治理方式。

一言既出，驷马难追。尤其是关系到民生的钱袋子，政府每一句话都必须有重量。

如果政策仍在研究，就请统一口径；如果尚未决定，就不要把半成品丢进市场；如果真的要改革，就一次过把逻辑讲清楚，把数据摊开，把影响评估说透。

政府治理不能像连续剧，每天等下一集才知道剧情反转。

点击story（Swipe Up）看更多

#燃油补贴 #汽油 #补贴 #RON95 #BUDI95 #T20 #subsidy #南洋商报 #nanyangsiangpau

免费下载App看更多：
https://onelink.to/tkfjhx

Disclaimer: The caption may have been automatically translated by Instagram. In the event of any discrepancies, the original Chinese version shall prevail. We are not responsible for any inaccuracies resulting from the auto-translation.",https://www.instagram.com/p/DYPfrGulKAs/,neutral,2026-05-12T14:33:32.000Z,203,0,25,0,0.0,228,278.0
instagram,post,3901129910912921032,"【#百格快讯】私人司机和民防部队志愿者通过TikTok帐号散布关于BUDI95汽油补贴计划假消息，今日（5月20日）在地庭面控后俯首认罪，分别判罚4000令吉。

29岁私人司机莫哈末艾曼和46岁民防部队志愿者隆法兹里，被控在4月4日蓄意作出及发送虚假帖文，意图伤害他人感受，其帖文于4月5日早上，在赛城的通讯及多媒体委员会大厦8楼被读取。

两人分别因而抵触1998年通讯及多媒体法令第233（1）（a）条文（不当使用网络设备或网络服务），可在同一法令第233（2）条文下治罪。

#Pocketimes #百格 #BUDI95 #假消息",https://www.instagram.com/p/DYjmPwina3I/,neutral,2026-05-20T09:55:47.000Z,266,0,1,0,0.0,267,269.0
