platform,post_content,comment_content,engagement,sentiment,date
linkedin,,"Would you consider assisting a South African, as I have many failed loan applications for my startup.",0,negative,2026-05-29 08:14:27.501000+00:00
linkedin,,"Excellent points, Abhijeet! Another angle to consider is how banks also assess the *quality* of the turnover, not just the quantity. Profitability and cash flow efficiency are key. 💡 #SMEFinance",0,positive,2026-05-27 12:42:08.751000+00:00
linkedin,,"This analysis of SME loan rejections highlights a common disconnect. Given the emphasis on cashflow funding, how are loan covenants structured to account for the often-unpredictable fluctuations in SM",0,neutral,2026-06-05 14:08:33.366000+00:00
linkedin,,What is the interest?,0,neutral,2026-05-31 03:22:40.143000+00:00
linkedin,,Good help to all .,0,neutral,2026-05-31 13:40:52.904000+00:00
linkedin,,Source: https://www.techinasia.com/news/funding-societies-boost-bank-launch-secured-sme-loans,0,neutral,2026-05-18 10:40:29.702000+00:00
linkedin,,congrats GMD 👏,0,negative,2026-06-05 06:43:48.738000+00:00
linkedin,,Congrats Kevin Lam,0,neutral,2026-05-30 01:40:15.407000+00:00
linkedin,,"This is at the innovation forefront of origination credit assessment, adding behavioural traits (like regular committed savings) to credit scoring is the way forward",0,neutral,2026-05-31 17:32:52.621000+00:00
linkedin,,Loved it,0,neutral,2026-05-27 16:44:26.355000+00:00
linkedin,,Well covered 👍🏻✅,0,positive,2026-05-28 04:58:17.016000+00:00
linkedin,,"Good sharing. For SMEs with future capital market ambitions, including listing on a stock exchange, the disciplined use of facilities like SRF can reflect stronger working capital management, better s",0,positive,2026-05-31 03:17:22.383000+00:00
linkedin,,"For a detailed breakdown of how asset refinance works and eligibility requirements, read the full article: https://boxxfinance.co.uk/insights/what-is-asset-refinance",0,neutral,2026-06-04 12:03:56.160000+00:00
linkedin,,https://weirdkaya.com/think-rm3k-salary-means-no-need-to-declare-tax-heres-what-msians-should-know/?fbclid=IwdGRzaASNF9ZjbGNrBI0X0WV4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHpYtGgx93ezwcuD8HXx,0,neutral,2026-06-03 15:06:05.567000+00:00
linkedin,,https://www.arise.tv/smes-face-%E2%82%A648tn-funding-gap-as-banks-shun-productive-lending-alliance-warns/,0,neutral,2026-06-08 06:55:18.272000+00:00
linkedin,,"Shreepaadsarvagna, your emphasis on banking as integral to business setup is well made. From a capital markets perspective, the efficient flow of funds is not merely an operational detail but a fundam",0,positive,2026-06-04 08:17:03.005000+00:00
linkedin,,https://www.barclays.co.uk/business-banking/borrow/asset-finance/,0,neutral,2026-06-01 05:54:50.011000+00:00
linkedin,,"The Greatest Global Error of Economic Thinking
 https://moderndiplomacy.eu/2023/04/29/the-greatest-global-error-of-economic-thinking/",0,negative,2026-06-03 18:53:17.357000+00:00
linkedin,,Thank you so much for reposting this!,0,positive,2026-06-05 07:53:25.572000+00:00
linkedin,,🔗 Link here: https://www.rbnz.govt.nz/financial-stability/financial-stability-report/financial-stability-reports/2026/may/financial-stability-report-may-2026/web-version,0,neutral,2026-06-02 22:03:25.876000+00:00
linkedin,,"An insightful comparative study highlighting that effective skills financing is not about levy size alone, but about strong governance, quality assurance, industry alignment, and inclusion. Singapore,",0,positive,2026-05-29 12:54:10.513000+00:00
linkedin,,Jose Hernandez,0,neutral,2026-05-29 06:07:29.388000+00:00
linkedin,,Well done,0,neutral,2026-06-05 14:53:20.330000+00:00
linkedin,,Laurensia Clara Himawan Congrats and all the best in your new adventure ahead! ✨,0,positive,2025-11-04 03:46:41.903000+00:00
linkedin,,Cingrats and All the best to you in your next venture ahead,0,positive,2025-11-05 09:37:20.491000+00:00
linkedin,,I'm interested,0,positive,2025-08-15 18:29:15.259000+00:00
linkedin,,📣 Reposted for reach,0,neutral,2025-08-13 10:55:02.827000+00:00
linkedin,,"Hi,

We are seeking ₹100 Cr in Growth Capital for Caring Hands Healthcare, a doctor-led platform consolidating the fragmented Tier-2 healthcare market. 
Unlike traditional builds, our strategy focuses",0,neutral,2026-04-09 17:29:48.561000+00:00
linkedin,,Thank you for sharing  FundingBee by Bee Informatica and team!,0,positive,2026-04-09 12:31:54.497000+00:00
linkedin,,Congrats Teck Long! 🎉,0,negative,2025-08-01 00:33:51.306000+00:00
linkedin,,"Such good news Teck , it's so great to see businesses supporting businesses.",0,positive,2025-07-14 09:00:00.956000+00:00
linkedin,,Great opportunity here,0,neutral,2026-01-05 02:22:17.504000+00:00
linkedin,,Great opportunity here,0,neutral,2026-01-01 03:11:43.600000+00:00
linkedin,,Good work in Malaysia.pmx good person in this world.very good 💯 person in Malaysia,0,positive,2026-06-04 23:47:37.737000+00:00
linkedin,,One things we do we confident.,0,positive,2026-06-04 23:48:14.906000+00:00
linkedin,,Im interested,0,neutral,2025-08-18 07:23:20.501000+00:00
linkedin,,Great opportunity here,0,neutral,2026-01-03 05:33:15.216000+00:00
linkedin,,"Exciting news for small businesses in Malaysia! Can't wait to see the impact. 🎉 Rachel, I sent you a DM.",0,positive,2025-08-22 01:14:56.664000+00:00
linkedin,,"Love this, Rachel",0,neutral,2025-08-13 23:59:24.127000+00:00
linkedin,,Hi im interested,0,positive,2025-10-30 07:26:03.056000+00:00
linkedin,,CFBR,0,positive,2026-01-04 06:58:31.306000+00:00
linkedin,,"Dr well said , here is the link I shared early this year 

https://www.linkedin.com/posts/lukeraj_mida-miti-smecorp-activity-7332027294930087936-_wed?utm_source=share&utm_medium=member_android&rcm=ACo",0,positive,2025-10-02 08:52:23.988000+00:00
linkedin,,Malaysia is a country for workers not entrepreneurs i dont see much activity for supports for startups and thats how politicians grip us all.,0,negative,2025-10-04 20:23:55.413000+00:00
linkedin,,"Foo Boon Ping 胡文彬, TAB Global",0,neutral,2026-02-09 05:08:00.909000+00:00
linkedin,,Read full article- https://startuprise.org/funding-societies-cedar-partner-to-support-malaysian-smes-with-12m-funding/,0,neutral,2025-06-13 09:17:34.259000+00:00
linkedin,,Hi Alip Z.! I’ve sent my application to your email. Looking forward to hearing from you!,0,positive,2025-12-11 08:55:30.432000+00:00
linkedin,,I'm interested,0,positive,2025-08-17 05:43:12.546000+00:00
linkedin,,"Proud to see MAPAN actively championing ESG capacity building for our MSMEs.
With 97% of Malaysia’s businesses falling under MSMEs, their ability to operationalise ESG practices — from carbon accounti",0,positive,2025-08-12 08:01:50.823000+00:00
linkedin,,"Rather than chastising SMEs for falling short on ESG, steer them toward sustainable practices through targeted outreach. This is the way forward. Great work!",0,positive,2025-08-14 02:06:42.877000+00:00
linkedin,,"These are policy matters agreed before and some for political mileage , but the most important reform is to move #MACC #SPRM under the preview of Parliament that was promised and yet to be executed an",0,positive,2026-01-05 11:31:36.611000+00:00
linkedin,,"Growth and grit indeed! It’s been a journey of 'Big Wins,' and I’m proud to have contributed to the strategic shifts that future-proofed our portfolio this year. Navigating the bittersweet transitions",0,positive,2026-01-20 14:02:47.618000+00:00
linkedin,,"Hey Pei , What an inspiring journey! Excited to see what 2026 brings! 🎉. Hope to connect with you.",0,positive,2026-06-08 01:23:12.582000+00:00
linkedin,,CFBR,0,positive,2025-09-07 18:00:06.236000+00:00
linkedin,,CFBR,0,positive,2025-09-08 13:38:10.826000+00:00
linkedin,,"Well put. 
Digital banking failures are rarely about technology and more about sequencing and discipline — how capital is deployed, how quickly it turns, and whether early revenues can offset the inev",0,negative,2026-02-07 05:22:15.162000+00:00
linkedin,,When people are pinched from the traditional banking line and asked to do digital banking the results are expected as such. A key driver for digi banks is the unbanked segment. They wanted easy entry ,0,neutral,2026-02-06 23:14:27.756000+00:00
linkedin,,High GST on fintech services (18%) can indeed dampen innovation and raise customer costs. I've seen startups exploring GST exemptions under 'financial inclusion' slabs to improve affordability. Has an,0,negative,2025-06-21 11:05:00.001000+00:00
linkedin,,"Perhaps the bigger question is this:

Can Malaysia realistically become a high wage economy when a large portion of businesses still struggle to move beyond survival financing and low productivity ope",0,negative,2026-05-08 10:45:34.560000+00:00
linkedin,,Rukmini Bahl,0,negative,2025-06-27 06:08:24.201000+00:00
linkedin,,Great work Calum. 👍,0,positive,2026-06-01 18:58:55.383000+00:00
linkedin,,Well done Calum. Fantastic work.,0,positive,2026-05-30 09:04:44.504000+00:00
linkedin,,The shift toward revenue-based financing models will be a game changer for SMEs navigating unpredictable economic cycles.,0,positive,2025-11-23 09:36:13.286000+00:00
linkedin,,"@
Pk
Lool",0,positive,2025-11-22 07:48:22.744000+00:00
linkedin,,Hi Mr. Alip Z. I’ve sent you my resume. Looking forward to any updates. Thank you.,0,positive,2025-11-20 06:13:23.961000+00:00
linkedin,,👏,0,positive,2025-04-05 13:37:13.757000+00:00
linkedin,,I appreciate this,0,neutral,2025-04-08 13:12:27.822000+00:00
linkedin,,A fantastic step forward for Malaysia’s SMEs true digital transformation in action! 🚀💼,0,positive,2025-08-19 07:05:05.609000+00:00
